Titulo,Codigo Postal,Precio,Recamaras,Banos,Estacionamientos,NoPisos,Edad,Area Terreno,Area Construida,Tamaño Jardin
 Colonia 2001,44820,720000.0,3.0,2.0,2.0,1.0,0.0,136.0,,
 Colonia Jardines del Country,44210,7100000.0,6.0,5.0,2.0,2.0,0.0,180.0,320.0,
 Colonia La Perla,44360,2300000.0,4.0,2.0,51.0,100.0,114.0,,,
 Colonia Bosques de La Victoria,44540,832300.0,4.0,2.0,0.0,300.0,,,,
 Guadalajara,44930,3500000.0,4.0,2.0,1.0,0.0,122.0,208.0,,
 Colonia Atlas Poniente,44870,4900000.0,6.0,2.0,2.0,2.0,70.0,400.0,311.0,89.0
 Colonia Universitaria,44840,8650000.0,3.0,3.0,2.0,29.0,252.0,216.0,,
 Colonia Miraflores,44270,5490000.0,1.0,1.0,2.0,1.0,30.0,199.0,276.0,
 Colonia Santa Mónica,44220,2274757.0,3.0,1.0,1.0,2.0,13.0,165.0,1.0,
 Colonia Chapultepec Country,44620,14000000.0,8.0,5.0,4.0,14.0,351.0,510.0,,
 Colonia Lomas de Guevara,44657,25000000.0,7.0,2.0,4.0,2.0,65.0,628.0,581.0,
 Colonia El Mirador,44370,1926584.0,3.0,2.0,2.0,2.0,18.0,176.0,1.0,
